userId,sex_cd,age5_band,pfgn1,pfgn2,avg_wtch_cnt,avg_fwtch_cnt,avg_buy_cnt,avg_buy_amt,price_band
2424726889,MALE,13.0,드라마,SF/판타지,5.0,0.0,1.0,5000.0,5000.0
2424839953,FEMALE,7.0,드라마,극장판 애니,1.0,0.0,1.0,5334.0,5333.0
2425587410,MALE,9.0,극장판 애니,액션,3.0,1.0,2.0,5734.0,3440.0
2425797326,FEMALE,11.0,극장판 애니,액션,2.0,1.0,1.0,5500.0,5500.0
2425997204,FEMALE,11.0,성인,0,4.0,1.0,2.0,5000.0,3000.0
2426164263,FEMALE,10.0,드라마,로맨스,2.0,1.0,1.0,5467.0,5467.0
2426568204,FEMALE,10.0,드라마,극장판 애니,2.0,0.0,2.0,6134.0,3680.0
2427235856,MALE,10.0,극장판 애니,액션,3.0,1.0,1.0,4634.0,4633.0
24272786,FEMALE,12.0,성인,0,3.0,0.0,3.0,8334.0,2778.0
2428775693,MALE,7.0,극장판 애니,액션,4.0,1.0,1.0,5167.0,5167.0
2429054532,MALE,7.0,액션,드라마,4.0,2.0,2.0,7050.0,4230.0
242917846,FEMALE,10.0,액션,스릴러,1.0,0.0,1.0,5500.0,5500.0
2429806530,FEMALE,13.0,극장판 애니,다큐,2.0,0.0,2.0,5100.0,3825.0
2429970732,MALE,7.0,액션,드라마,2.0,0.0,2.0,6667.0,5000.0
2429970873,FEMALE,10.0,액션,드라마,1.0,0.0,1.0,4267.0,4267.0
2430425250,MALE,7.0,액션,드라마,4.0,0.0,2.0,4500.0,3375.0
243193569,FEMALE,7.0,드라마,극장판 애니,1.0,0.0,1.0,6334.0,6333.0
2431989210,MALE,4.0,SF/판타지,극장판 애니,2.0,1.0,2.0,5467.0,4100.0
2432387421,FEMALE,11.0,액션,극장판 애니,2.0,0.0,2.0,6000.0,3000.0
2432538443,0,0.0,로맨스,스릴러,4.0,2.0,1.0,6134.0,6133.0
2433692411,MALE,10.0,드라마,액션,1.0,0.0,1.0,5000.0,5000.0
2434638387,MALE,8.0,드라마,코미디,2.0,0.0,2.0,4734.0,3550.0
2435108062,MALE,12.0,액션,0,1.0,0.0,1.0,6134.0,6133.0
2435861150,FEMALE,8.0,극장판 애니,코미디,2.0,0.0,2.0,5100.0,3060.0
2435946390,FEMALE,10.0,액션,스릴러,2.0,1.0,1.0,5667.0,5667.0
2436490791,MALE,7.0,스릴러,액션,4.0,1.0,2.0,5200.0,3120.0
2436686949,FEMALE,8.0,액션,극장판 애니,2.0,0.0,2.0,5567.0,3340.0
2436877792,FEMALE,11.0,스릴러,액션,4.0,2.0,3.0,7434.0,3186.0
243756800,MALE,9.0,드라마,로맨스,7.0,4.0,2.0,5034.0,3775.0
2439121200,MALE,8.0,극장판 애니,코미디,2.0,0.0,2.0,6467.0,3880.0
2440081412,FEMALE,10.0,액션,드라마,1.0,0.0,1.0,5667.0,5667.0
2440644753,FEMALE,8.0,극장판 애니,액션,4.0,1.0,4.0,5734.0,1720.0
24420560,FEMALE,11.0,드라마,액션,2.0,0.0,2.0,4467.0,3350.0
2442827884,FEMALE,10.0,스릴러,드라마,2.0,1.0,2.0,4634.0,3475.0
2442842315,FEMALE,6.0,스릴러,액션,3.0,0.0,3.0,8067.0,3457.0
2442956360,MALE,3.0,극장판 애니,액션,2.0,1.0,1.0,5000.0,5000.0
2443552900,MALE,6.0,액션,스릴러,2.0,1.0,2.0,7134.0,4280.0
2444263853,MALE,12.0,액션,로맨스,2.0,0.0,1.0,5134.0,5133.0
2444355141,FEMALE,8.0,극장판 애니,0,8.0,7.0,1.0,4000.0,4000.0
2446160019,MALE,7.0,극장판 애니,액션,2.0,1.0,1.0,5467.0,5467.0
2446508820,FEMALE,9.0,액션,스릴러,2.0,1.0,1.0,5500.0,5500.0
2446541385,FEMALE,5.0,드라마,SF/판타지,2.0,0.0,2.0,7134.0,4280.0
2447479768,FEMALE,9.0,극장판 애니,드라마,2.0,0.0,1.0,4634.0,4633.0
2447639465,MALE,9.0,스릴러,코미디,1.0,0.0,1.0,4167.0,4167.0
2447726561,MALE,10.0,극장판 애니,0,2.0,1.0,1.0,5834.0,5833.0
2447886960,MALE,9.0,극장판 애니,드라마,5.0,3.0,2.0,5767.0,3460.0
2448400535,MALE,10.0,극장판 애니,로맨스,2.0,1.0,2.0,5100.0,3825.0
2448494225,FEMALE,8.0,스릴러,액션,2.0,0.0,1.0,5000.0,5000.0
2448849623,FEMALE,9.0,로맨스,드라마,4.0,1.0,4.0,7067.0,2120.0
2449513944,FEMALE,11.0,극장판 애니,로맨스,2.0,0.0,2.0,4734.0,3550.0
2449925522,FEMALE,5.0,액션,드라마,2.0,0.0,2.0,5934.0,3560.0
2450597766,MALE,5.0,액션,0,3.0,1.0,2.0,7500.0,4500.0
2451210967,FEMALE,6.0,극장판 애니,0,2.0,0.0,2.0,5834.0,4375.0
2451279704,MALE,8.0,드라마,액션,2.0,0.0,2.0,4834.0,3625.0
