COMPANY,AGE,SEX,LOC,FMIL_SGMT,MAU,구매력,2ND단말기보유점수,구매력점수,블로그활동점수,이사관심점수,공기질민감점수,도서잡지관심점수,인테리어관심점수,렌탈관심점수,홈케어서비스관심점수,계절가전제품관심점수,생활가전제품관심점수,주방용품가전제품관심점수,디지털전자제품관심점수
carrier,20,MALE,제주,,4,,,,,,,,,,,,,,
carrier,20,MALE,충남,1인가구,3,,6.4,,8.8,5.2,,,5.9,,,26.3,27.8,7.1,13.4
carrier,20,MALE,충남,키즈맘_미취학,1,10,6.4,10,9.9,3.6,,,3.3,,,17.7,17.7,4.5,9.2
carrier,20,MALE,충남,중년_자녀동거,5,,7,,8.9,4,,,2.1,,,25.7,28.5,5.6,12.3
carrier,20,MALE,충남,2인가구,2,,6.9,,7.9,5.3,,,8.9,,,29,30.9,5.8,13.8
carrier,20,MALE,충남,,26,2.1,7.5,2.1,8,9.4,,,0.8,,,37.3,35.4,9,18.8
carrier,20,MALE,충북,중년_자녀동거,2,,7.4,,8.9,0.6,,,,,,23.3,31.3,4.3,13.6
carrier,20,MALE,충북,1인가구,3,,6.8,,3.3,4,,,9.1,5.7,,28.2,25.3,6.7,12.4
carrier,20,MALE,충북,,16,,9.2,,5,8,,,8.1,,,32.5,35,6.6,14.2
carrier,20,MALE,충북,키즈맘_미취학,1,,,,,0.8,,,,,,36.8,33.4,8.1,15
carrier,30,FEMALE,,2인가구,5,6.7,7.2,6.7,6.8,5.7,,0,7.2,0.1,,25.7,25.3,6.1,12.7
carrier,30,FEMALE,,키즈맘_초등생,6,2.6,6.9,2.6,8.4,5.3,,,5.2,,,15.7,14.7,3.9,8.6
carrier,30,FEMALE,,,236,8.2,7.3,8.2,7.9,5.9,8,4.8,6.9,5.2,8.3,24.6,20.8,7.3,11.2
carrier,30,FEMALE,,중년_자녀동거,17,5.7,7.2,5.7,7.2,5.1,8,6.2,7.2,3.2,,18.7,17.4,4.4,10.6
carrier,30,FEMALE,,1인가구,16,5,7.2,5,7.9,6.7,,0.2,6,2.8,7.4,27.9,27.8,6.4,14.2
carrier,30,FEMALE,,키즈맘_중학생,2,10,,10,4.8,5.3,,,10,,,23.1,26.1,5.5,11.8
carrier,30,FEMALE,,키즈맘_미취학,13,9.2,7.6,9.2,8,6.1,,6,6.1,3.1,7.2,23.4,22.4,5.9,11.7
carrier,30,FEMALE,강원,키즈맘_미취학,4,,8,,7.2,7.6,,,8.3,,,30.4,31.7,7.6,13.6
carrier,30,FEMALE,강원,중년_자녀동거,2,10,7.7,10,6.4,9.7,,,10,2.5,,23.8,27.6,4.4,15.8
carrier,30,FEMALE,강원,,19,,7.2,,3.6,7.8,,,9.1,,,27.5,28.2,6.6,14.6
carrier,30,FEMALE,경기,,180,9.4,7.4,9.4,7.3,6.1,8,9,6.6,,7.3,19.7,17.8,5.5,9.8
carrier,30,FEMALE,경기,중년_자녀동거,25,8.5,7.6,8.5,7,7,8,5.6,6.3,7.8,8.4,22.1,19.3,6.1,11.4
carrier,30,FEMALE,경기,키즈맘_초등생,9,9,7.3,9,6.1,5.7,,,6.5,7.9,,26.6,23.1,6.7,13
carrier,30,FEMALE,경기,키즈맘_미취학,13,10,7.3,10,7.2,7.9,,3.2,5.9,7.7,7.4,27.7,26.9,6.8,13.5
carrier,30,FEMALE,경기,1인가구,14,8.3,7.1,8.3,7,5.9,8,,7.2,3.4,8.1,24.4,22,6.3,12.7
carrier,30,FEMALE,경기,2인가구,3,10,7.5,10,9.8,8.4,,,5.9,,,29,30.3,7,14.5
carrier,30,FEMALE,경기,키즈맘_중학생,1,10,7.6,10,9.5,4.1,,,2.3,9.3,,17.6,17.5,4.4,9.1
carrier,30,FEMALE,경남,중년_자녀동거,2,,7.7,,8.4,4.5,,,7.6,2.5,,28.2,27.9,7.1,13.7
carrier,30,FEMALE,경남,,24,5,6.4,5,7.8,6.5,,,7,,,32.1,32.3,7.7,16.4
carrier,30,FEMALE,경남,키즈맘_미취학,2,,9.7,,7.5,5,,9.4,3.2,,,38.1,38.3,9.2,17.3
carrier,30,FEMALE,경남,1인가구,1,,,,8,9.4,,,8.3,7.7,,15.3,14.3,2.6,9.2
carrier,30,FEMALE,경남,2인가구,2,10,8.8,10,9,9.6,,8,9.7,8,,13.9,13.9,2.7,11
carrier,30,FEMALE,경북,키즈맘_초등생,4,10,7.6,10,8.6,5.2,,,5,,,31.5,32.5,7.8,14.2
carrier,30,FEMALE,경북,1인가구,4,8.5,7.1,8.5,8.3,5.6,,,6.3,,7.4,22.1,18.4,7.3,10.4
carrier,30,FEMALE,경북,키즈맘_미취학,2,10,6.8,10,8,9.3,,8,9.9,,,14.2,7.6,5.6,8.5
carrier,30,FEMALE,경북,중년_자녀동거,2,10,6.9,10,8.2,9.5,,,9.1,,,18.8,19.8,4.1,9.6
carrier,30,FEMALE,경북,,31,10,7.8,10,7.7,7.8,8.4,0,6.1,0.1,8.1,32.9,33,7.8,16.6
carrier,30,FEMALE,광주,2인가구,1,,7.6,,0,1.2,,,,,,18.6,18.5,5.1,9.7
carrier,30,FEMALE,광주,1인가구,1,,7.4,,8,9.7,,,8.1,,,17.4,17.2,4.4,9.1
carrier,30,FEMALE,광주,,16,5,6.9,5,6.5,9,,,7,7.9,,22.5,15.7,7,8.5
carrier,30,FEMALE,광주,키즈맘_미취학,3,0,,0,6.9,5,,,8.2,,,24.7,27.3,6.7,12.9
carrier,30,FEMALE,광주,중년_자녀동거,2,,7.5,,8,1.4,,8,1.2,8.9,,14.8,16.6,2.7,10.7
carrier,30,FEMALE,대구,1인가구,3,,6.4,,3.1,7.5,,9.2,5.5,,,15.1,13.7,3.2,10.6
carrier,30,FEMALE,대구,중년_자녀동거,6,,7.1,,7.4,7.3,,0.4,4,,,21.9,19.3,6.3,11.1
