base_company,AGE,SEX,other_company,overlap_users,total_users,overlap_ratio_percent
modevi,40,FEMALE,carrier,1,6,16.7
modevi,40,FEMALE,himart,1,6,16.7
modevi,40,MALE,cuckoo,4,16,25.0
modevi,40,MALE,carrier,4,16,25.0
modevi,40,MALE,lge,3,16,18.8
modevi,40,MALE,himart,2,16,12.5
modevi,40,MALE,xaomi,1,16,6.3
modevi,50,FEMALE,lge,2,4,50.0
modevi,50,FEMALE,himart,1,4,25.0
modevi,50,MALE,himart,1,9,11.1
modevi,50,MALE,carrier,1,9,11.1
modevi,50,MALE,cuckoo,1,9,11.1
modevi,60,FEMALE,cuckoo,2,3,66.7
modevi,60,FEMALE,lge,1,3,33.3
modevi,60,MALE,himart,1,5,20.0
modevi,70,FEMALE,carrier,1,1,100.0
samsunge,20,FEMALE,himart,9,77,11.7
samsunge,20,FEMALE,cuckoo,7,77,9.1
samsunge,20,FEMALE,lge,5,77,6.5
samsunge,20,MALE,himart,17,86,19.8
samsunge,20,MALE,lge,11,86,12.8
samsunge,20,MALE,cuckoo,7,86,8.1
samsunge,20,MALE,xaomi,3,86,3.5
samsunge,30,FEMALE,cuckoo,63,313,20.1
samsunge,30,FEMALE,himart,42,313,13.4
samsunge,30,FEMALE,lge,25,313,8.0
samsunge,30,FEMALE,xaomi,5,313,1.6
samsunge,30,FEMALE,carrier,2,313,0.6
samsunge,30,MALE,himart,115,518,22.2
samsunge,30,MALE,cuckoo,84,518,16.2
samsunge,30,MALE,lge,46,518,8.9
samsunge,30,MALE,xaomi,14,518,2.7
samsunge,30,MALE,carrier,5,518,1.0
samsunge,30,MALE,haier,1,518,0.2
samsunge,40,FEMALE,cuckoo,33,279,11.8
samsunge,40,FEMALE,himart,23,279,8.2
samsunge,40,FEMALE,lge,19,279,6.8
samsunge,40,FEMALE,xaomi,1,279,0.4
samsunge,40,MALE,himart,109,499,21.8
samsunge,40,MALE,cuckoo,78,499,15.6
samsunge,40,MALE,lge,37,499,7.4
samsunge,40,MALE,xaomi,24,499,4.8
samsunge,40,MALE,carrier,2,499,0.4
samsunge,40,MALE,haier,1,499,0.2
samsunge,50,FEMALE,lge,20,154,13.0
samsunge,50,FEMALE,cuckoo,19,154,12.3
samsunge,50,FEMALE,himart,19,154,12.3
