ton,dist,cost
11,142.998477,30
25,88.982188,34
25,123.3977594,60
1,27.98074019,5
25,212.0932333,48
25,180.578833,40
18,52.94535115,16
11,173.2358215,24
18,193.5286247,45
18,85.52327403,23
25,111.8309749,37
25,67.95927185,35
5,224.3833853,22
18,241.8546829,50
25,209.5480088,51
11,142.998477,30
14,47.27117014,22
1,24.44793977,3
25,121.3349122,33
25,86.96493268,30
25,316.6716472,62
25,96.61991235,34
25,65.34564871,23
5,75.58999313,17
11,99.73654413,25
25,289.3689648,58
1,45.17119252,5
25,146.5271034,26
18,158.4066811,36
25,11.46934594,24
5,215.5827558,27
11,315.4569082,50
5,12.10874252,8
18,92.71451955,27
5,47.88727675,12
18,185.0551222,38
5,257.3636709,46
14,257.3636709,46
14,249.2720473,41
5,185.0551222,38
14,185.0551222,38
14,193.6301091,38
22,281.218114,60
18,193.6301091,38
5,193.6301091,38
11,138.4593445,30
11,138.4593445,30
