movieId,rating,title,genres,create_yr,director,actor1,wtch_cnt,sales_amt_3m,price
1016284277,0.08635740979376672,엄마의 죽음과 복수의 시작,영화|스릴러|NaN,2021,앤토니 리프레스네, 제시카 시포스,7,12500.0,2500
1016645827,0.11409200867293853,돌아온 마네킹 애인,영화|성인|일본,2021,나베 아츠시,우수이 사류,434,87500.0,2500
1017010884,0.07880544274243254,뉴올리언스 전투: 네이비실 VS 좀비(Navy Seals vs. Zombies),영화|액션|NaN,2016,스탠턴 바렛, 스테파니 호노르,80,33600.0,1400
1017028838,0.10135064601106339,예쁜식모2: 가정부인,영화|성인|한국,2021,리차드 킴,"민도윤, 새봄, 주아",196,200000.0,2500
1017071051,0.08596042175333009,타잔 (Tarzan),영화|극장판 애니|NaN,2014,"케빈 리마,크리스 벅", 김승준,351,243600.0,900
10171262,0.0855654437773959,함정(ARLINGTON ROAD),영화|스릴러|NaN,2014,마크 펠링튼, 제프 브리지스,20,16800.0,900
101719416,0.09813636245634964,호텔룸,영화|로맨스|NaN,2017,에릭 쿠, 최우식,37,32200.0,1400
101769284,0.10054550168484978,"에브리씽, 에브리씽",영화|드라마|NaN,2017,스텔라 메기, 아만들라 스텐버그,14,20000.0,2500
1017729945,0.08150311352464783,목숨 건 연애,영화|로맨스|NaN,2016,송민규, 하지원,155,26600.0,1400
1017738243,0.060128406512046005,남편에게 비밀인 사채빚,영화|성인|캐치온,2020,우스바시 수이, 우에하라 아이,212,0.0,0
1017815819,0.08010607588869607,커다랗고 커다랗고 커다란 배,영화|극장판 애니|어린이/가족,2018,필립 립스키, 이소은,10006,0.0,1400
1018010244,0.06197180180169803,가랑이 벌려주는 대학동기 여대생,영화|성인|비디오물,2021,기두,"코사카 메이, 아이자와 유리나",189,0.0,0
1018152085,0.06252943810001964,어쌔신: 닌자걸,영화|액션|NaN,2018,데이빗 프레슬리, 트리쉘 카나텔라,5,0.0,1400
1018446388,0.09683682754365633,명탐정 코난 극장판 : 수평선상의 음모,영화|극장판 애니|NaN,2014,야마모토 야스이치로,0,1038,812000.0,900
1018459344,0.12702367332249734,오버커머,영화|드라마|NaN,2020,알렉스 켄드릭, 알렉스 켄드릭,43,45000.0,2500
1018497618,0.08524977876635087,해피 해피 브레드,영화|드라마|독립,2014,미시마 유키코, 하라다 토모요,149,70000.0,900
101868239,0.08539742089430379,비트,영화|액션|NaN,2018,김성수, 정우성,489,264600.0,1400
1018822283,0.07605788667081899,빈집,영화|드라마|NaN,2014,김기덕, 이승연,2166,0.0,1400
1018925716,0.11630869599255321,쉿! 오늘부터 거기만 남자!,영화|코미디|NaN,2019,오드리 데이너, 오드리 데이너,27,2800.0,1400
1018988627,0.07608565000357187,인류멸종: 좀비 바이러스(Anger of the Dead),영화|공포|NaN,2016,프란시스코 피콘, 아론 스티엘스트라,44,11200.0,900
1019078551,0.08888704299821203,파이터,영화|드라마|NaN,2021,윤재호, 임성미,139,703000.0,2500
1019174794,0.16893048461339147,미드웨이,영화|액션|NaN,2020,롤랜드 에머리히, 에드 스크레인,93,234000.0,6500
1019582540,0.046272701946976025,언더워터(),영화|스릴러|NaN,2020,자움 콜렛 세라, 블레이크 라이블리,29,0.0,0
1019655803,0.06615441283597752,디지몬 어드벤처 트라이 3: 고백,영화|극장판 애니|NaN,2016,모토나가 케이타로, 하나에 나츠키,77,25200.0,1400
1019871860,0.11705207824726128,하이-라이즈(High-Rise),영화|드라마|NaN,2021,벤 웨틀리, 톰 히들스턴,540,32500.0,2500
1020116890,0.10151391159707754,1940: 나치 공습 작전,영화|액션|NaN,2019,크리스토퍼 리 도스 산토스, 니콜라스 반 더 비즐,21,4200.0,1400
1020522510,0.08925107476946126,번개맨과 신비의 섬,영화|액션|어린이/가족,2018,김지열, 서홍석,625,243600.0,1400
1020648188,0.04580928661745178,2017 미스맥심 콘테스트 우승자는 바로!,영화|성인|한국,2020,MAXIM KOREA, 이수미,173,0.0,1000
1020888677,0.07912013847893047,레드 라이트,영화|스릴러|NaN,2012,로드리고 코르테스, 로번트 드 니로,1832,0.0,900
1020927984,0.08092720185890154,흑연비수(Lady Kung Fu),영화|액션|NaN,2021,"황풍, 정창화", 홍금보,902,0.0,900
102125557,0.10127792120098489,조용한 열정,영화|드라마|NaN,2017,테렌스 데이비스, 신시아 닉슨,139,39200.0,1400
1021457837,0.11452503824320347,청초한 21살 여대생 뽀송뽀송 솜털까지 살아 있음,영화|성인|일본,2021,핑두,"코코로, 치나미",461,110000.0,2500
1021746134,0.05820220317652019,어린 며느리,영화|성인|비디오물,2021,이치노세 스즈,이치노세 스즈,1124,0.0,0
1021915156,0.08852434503410411,소녀,영화|스릴러|NaN,2014,최진성, 김시후,167,29400.0,900
102220999,0.11764297351522557,아무르,영화|드라마|NaN,2016,미카엘 하네케, 장 루이 트렝티냥,1,2000.0,2000
1022349103,0.05153629141451957,지스팟 애무 전신경련 우에하라 아이,영화|성인|캐치온,2021,무빈, 우에하라 아이,412,0.0,0
1022373680,0.058815107348249185,너무 좋아 환장하는 금발 초미녀들,영화|성인|비디오물,2021,매슈 파이크,"시시, 러트로",1443,0.0,0
1022389290,0.052054239681512335,에너미 블렛,영화|액션|NaN,2014,콜린 티그, 빌리 제인,13,0.0,900
1022701777,0.11238744781399525,쿵푸팬더 3,영화|극장판 애니|어린이/가족,2020,여인영, 엄상현,1864,2612500.0,2500
1022893414,0.07947307698728799,이연걸의 정무문(Fist Of Legend),영화|액션|NaN,2013,진가상, 이연걸,204,186200.0,900
