site_nm,company,cnt,user_cnt,cnt_p_user,user_ratio
하나은행 아이부자,haier,3310,220,15.05,0.24
UBCI 인덱스,haier,6607,220,30.03,0.24
baidu,haier,14319,219,65.38,0.24
Samsung Galaxy,haier,4336,218,19.89,0.24
IBK앱통장,haier,5873,214,27.44,0.23
i-ONE Bank,haier,4704,211,22.29,0.23
Helpshift,haier,3318,210,15.8,0.23
루리웹,haier,3652,207,17.64,0.23
IBK기업은행,haier,7870,206,38.2,0.23
넥슨,haier,36317,206,176.3,0.23
넷마블,haier,9216,204,45.18,0.22
빗썸,haier,17209,204,84.36,0.22
직방,haier,5741,202,28.42,0.22
SK텔레콤,haier,3522,198,17.79,0.22
스카이스캐너,haier,3243,198,16.38,0.22
우리카드,haier,8919,194,45.97,0.21
신한투자증권,haier,9451,192,49.22,0.21
우리동네GS,haier,12035,192,62.68,0.21
Microsoft Graph,haier,4282,191,22.42,0.21
카카오페이지,haier,7040,191,36.86,0.21
홈플러스,haier,3380,185,18.27,0.2
이마트,haier,7018,185,37.94,0.2
xHamster,haier,5202,183,28.43,0.2
SK엔카,haier,6420,183,35.08,0.2
디스코드,haier,9163,181,50.62,0.2
Windows 업데이트,haier,2655,173,15.35,0.19
Syrup,haier,7762,170,45.66,0.19
알바몬,haier,4304,169,25.47,0.19
Samsung SmartThings,haier,5102,163,31.3,0.18
기아자동차,haier,5207,162,32.14,0.18
ThreatCast,haier,4036,157,25.71,0.17
중고나라,haier,5487,157,34.95,0.17
지니 뮤직,haier,28662,157,182.56,0.17
야동코리아,haier,2619,156,16.79,0.17
알바천국,haier,2660,154,17.27,0.17
숲,haier,35679,153,233.2,0.17
XVIDEOS,haier,2555,153,16.7,0.17
Microsoft Teams,haier,18721,152,123.16,0.17
하나멤버스,haier,4835,148,32.67,0.16
기상청 날씨누리,haier,5518,148,37.28,0.16
SmartSwitch,haier,2703,148,18.26,0.16
LG ThinQ,haier,14574,144,101.21,0.16
나우 메시지,haier,4981,143,34.83,0.16
